,location,census,estimates_base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14,Florida,18801310,18804564,18845537,19053237.0,19297822.0,19545621.0,19845911.0,20209042.0,20613477.0,20963613.0,21244317.0,21477737.0
20,Iowa,3046355,3046871,3050745,3066336.0,3076190.0,3092997.0,3109350.0,3120960.0,3131371.0,3141550.0,3148618.0,3155070.0
33,Nevada,2700551,2700677,2702405,2712730.0,2743996.0,2775970.0,2817628.0,2866939.0,2917563.0,2969905.0,3027341.0,3080156.0
40,Ohio,11536504,11536751,11539336,11544663.0,11548923.0,11576684.0,11602700.0,11617527.0,11634370.0,11659650.0,11676341.0,11689100.0
